date,Day,holiday_name,skill_id,Time,Time Hour,Time Min,Call
1/1/2014,Wed,New Year ,1,0,,0,1
1/1/2014,Wed,New Year ,1,30,2,0,3
1/1/2014,Wed,New Year ,1,100,3,0,1
1/1/2014,Wed,New Year ,1,130,3,30,2
1/1/2014,Wed,New Year ,1,200,3,0,0
1/1/2014,Wed,New Year ,1,230,3,30,1
1/1/2014,Wed,New Year ,1,300,3,0,1
1/1/2014,Wed,New Year ,1,330,3,30,1
1/1/2014,Wed,New Year ,1,400,3,0,0
1/1/2014,Wed,New Year ,1,430,3,30,1
1/1/2014,Wed,New Year ,1,500,3,0,3
1/1/2014,Wed,New Year ,1,530,3,30,0
1/1/2014,Wed,New Year ,1,600,3,0,1
1/1/2014,Wed,New Year ,1,630,3,30,3
1/1/2014,Wed,New Year ,1,700,3,0,4
1/1/2014,Wed,New Year ,1,730,3,30,9
1/1/2014,Wed,New Year ,1,800,3,0,3
1/1/2014,Wed,New Year ,1,830,3,30,11
1/1/2014,Wed,New Year ,1,900,3,0,8
1/1/2014,Wed,New Year ,1,930,3,30,13
1/1/2014,Wed,New Year ,1,1000,4,0,10
1/1/2014,Wed,New Year ,1,1030,,30,7
1/1/2014,Wed,New Year ,1,1100,,0,17
1/1/2014,Wed,New Year ,1,1130,,30,8
1/1/2014,Wed,New Year ,1,1200,,0,8
1/1/2014,Wed,New Year ,1,1230,,30,6
1/1/2014,Wed,New Year ,1,1300,,0,8
1/1/2014,Wed,New Year ,1,1330,,30,10
1/1/2014,Wed,New Year ,1,1400,,,16
1/1/2014,Wed,New Year ,1,1430,,,12
1/1/2014,Wed,New Year ,1,1500,,,11
1/1/2014,Wed,New Year ,1,1530,,,9
1/1/2014,Wed,New Year ,1,1600,,,13
1/1/2014,Wed,New Year ,1,1630,,,9
1/1/2014,Wed,New Year ,1,1700,,,24
1/1/2014,Wed,New Year ,1,1730,,,10
1/1/2014,Wed,New Year ,1,1800,,,10
1/1/2014,Wed,New Year ,1,1830,,,13
1/1/2014,Wed,New Year ,1,1900,,,9
1/1/2014,Wed,New Year ,1,1930,,,13
1/1/2014,Wed,New Year ,1,2000,,,14
1/1/2014,Wed,New Year ,1,2030,,,4
1/1/2014,Wed,New Year ,1,2100,,,12
1/1/2014,Wed,New Year ,1,2130,,,4
1/1/2014,Wed,New Year ,1,2200,,,3
1/1/2014,Wed,New Year ,1,2230,,,4
1/1/2014,Wed,New Year ,1,2300,,,6
1/1/2014,Wed,New Year ,1,2330,,,4
1/1/2014,Wed,New Year ,3,0,,,10
1/1/2014,Wed,New Year ,3,30,,,6
1/1/2014,Wed,New Year ,3,100,,,14
1/1/2014,Wed,New Year ,3,130,,,9
1/1/2014,Wed,New Year ,3,200,,,9
1/1/2014,Wed,New Year ,3,230,,,4
1/1/2014,Wed,New Year ,3,300,,,6
1/1/2014,Wed,New Year ,3,330,,,7
1/1/2014,Wed,New Year ,3,400,,,5
