"date","skill_id","call_day"
"1/1/2014","1","340"
"1/1/2014","3","1258"
"1/1/2014","4","0"
"1/1/2014","7","56"
"1/1/2014","8","366"
"1/1/2014","13","145"
"1/1/2014","14","409"
"1/1/2014","31","46"
"1/1/2014","40","0"
"2/1/2014","1","480"
"2/1/2014","3","1578"
"2/1/2014","4","1"
"2/1/2014","7","138"
"2/1/2014","8","493"
"2/1/2014","13","110"
"2/1/2014","14","718"
"2/1/2014","31","54"
"2/1/2014","40","1"
"3/1/2014","1","481"
"3/1/2014","3","2000"
"3/1/2014","4","0"
"3/1/2014","7","139"
"3/1/2014","8","569"
"3/1/2014","13","132"
"3/1/2014","14","866"
"3/1/2014","31","61"
"3/1/2014","40","0"
"4/1/2014","1","391"
"4/1/2014","3","1740"
"4/1/2014","4","0"
"4/1/2014","7","120"
"4/1/2014","8","456"
"4/1/2014","13","116"
"4/1/2014","14","761"
"4/1/2014","31","54"
"4/1/2014","40","0"
"5/1/2014","1","340"
"5/1/2014","3","1491"
"5/1/2014","4","0"
"5/1/2014","7","82"
"5/1/2014","8","356"
"5/1/2014","13","156"
"5/1/2014","14","714"
"5/1/2014","31","58"
"5/1/2014","40","1"
"6/1/2014","1","439"
"6/1/2014","3","1967"
"6/1/2014","4","0"
"6/1/2014","7","175"
"6/1/2014","8","774"
"6/1/2014","13","119"
"6/1/2014","14","840"
"6/1/2014","31","85"
"6/1/2014","40","1"
"7/1/2014","1","475"
"7/1/2014","3","1941"
"7/1/2014","4","1"
"7/1/2014","7","138"
"7/1/2014","8","691"
"7/1/2014","13","186"
"7/1/2014","14","935"
"7/1/2014","31","59"
"7/1/2014","40","0"
"8/1/2014","1","411"
"8/1/2014","3","2048"
"8/1/2014","4","0"
"8/1/2014","7","155"
"8/1/2014","8","741"
"8/1/2014","13","126"
"8/1/2014","14","961"
"8/1/2014","31","69"
"8/1/2014","40","0"
"9/1/2014","1","408"
"9/1/2014","3","1957"
"9/1/2014","4","2"
"9/1/2014","7","131"
"9/1/2014","8","707"
"9/1/2014","13","116"
"9/1/2014","14","945"
"9/1/2014","31","57"
"9/1/2014","40","3"
"10/1/2014","1","437"
"10/1/2014","3","1974"
"10/1/2014","4","1"
"10/1/2014","7","155"
"10/1/2014","8","599"
"10/1/2014","13","147"
"10/1/2014","14","954"
"10/1/2014","31","55"
"10/1/2014","40","0"
"11/1/2014","1","376"
"11/1/2014","3","1510"
"11/1/2014","4","0"
"11/1/2014","7","114"
"11/1/2014","8","379"
"11/1/2014","13","127"
"11/1/2014","14","787"
"11/1/2014","31","41"
"11/1/2014","40","2"
"12/1/2014","1","277"
"12/1/2014","3","1526"
"12/1/2014","4","0"
"12/1/2014","7","71"
"12/1/2014","8","298"
"12/1/2014","13","137"
"12/1/2014","14","601"
"12/1/2014","31","50"
"12/1/2014","40","1"
"13/1/2014","1","405"
"13/1/2014","3","1958"
"13/1/2014","4","0"
"13/1/2014","7","121"
"13/1/2014","8","571"
"13/1/2014","13","242"
"13/1/2014","14","895"
"13/1/2014","31","48"
"13/1/2014","40","0"
"14/1/2014","1","369"
"14/1/2014","3","1831"
"14/1/2014","4","0"
"14/1/2014","7","128"
"14/1/2014","8","588"
"14/1/2014","13","186"
"14/1/2014","14","971"
"14/1/2014","31","61"
"14/1/2014","40","0"
"15/1/2014","1","413"
"15/1/2014","3","1715"
"15/1/2014","4","0"
"15/1/2014","7","167"
"15/1/2014","8","566"
"15/1/2014","13","169"
"15/1/2014","14","908"
"15/1/2014","31","65"
"15/1/2014","40","2"
"16/1/2014","1","362"
"16/1/2014","3","1775"
"16/1/2014","4","0"
"16/1/2014","7","126"
"16/1/2014","8","532"
"16/1/2014","13","105"
"16/1/2014","14","928"
"16/1/2014","31","54"
"16/1/2014","40","3"
"17/1/2014","1","406"
"17/1/2014","3","1726"
"17/1/2014","4","1"
"17/1/2014","7","148"
"17/1/2014","8","465"
"17/1/2014","13","110"
"17/1/2014","14","864"
"17/1/2014","31","63"
"17/1/2014","40","1"
"18/1/2014","1","324"
"18/1/2014","3","1443"
"18/1/2014","4","0"
"18/1/2014","7","105"
"18/1/2014","8","335"
"18/1/2014","13","238"
"18/1/2014","14","692"
"18/1/2014","31","57"
"18/1/2014","40","0"
"19/1/2014","1","266"
"19/1/2014","3","1289"
"19/1/2014","4","0"
"19/1/2014","7","68"
"19/1/2014","8","286"
"19/1/2014","13","192"
"19/1/2014","14","532"
"19/1/2014","31","34"
"19/1/2014","40","0"
"20/1/2014","1","449"
"20/1/2014","3","1829"
"20/1/2014","4","1"
"20/1/2014","7","164"
"20/1/2014","8","492"
"20/1/2014","13","175"
"20/1/2014","14","811"
"20/1/2014","31","39"
"20/1/2014","40","2"
"21/1/2014","1","396"
"21/1/2014","3","1679"
"21/1/2014","4","2"
"21/1/2014","7","135"
"21/1/2014","8","459"
"21/1/2014","13","175"
"21/1/2014","14","862"
"21/1/2014","31","59"
"21/1/2014","40","0"
